Date;Price;PE;Year End;ROE;Debt/Equity;Debt/Capital;Name;EPS;PEMarket;PESector;MarketRateOfReturn;RiskFreeRateOfReturn;Share Beta;Debt Equity/Industry;Shareholders Equity;Inflation Rate
2012/03/13;16.5;4.42;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.106; 13,01 ; 20,24 ;0,07;0,08; 1,48 ;11.68; 806,00 ;5,62
2012/03/20;16.25;4.49;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.107; 11,99 ; 16,70 ;0,07;0,08; 1,39 ;11.68; 806,00 ;5,62
2012/03/27;16.1;4.53;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.108; 14,24 ; 19,21 ;0,07;0,08; 1,48 ;11.68; 806,00 ;5,62
2012/04/03;16.7;4.37;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.109; 9,90 ; 18,45 ;0,07;0,08; 1,26 ;11.68; 806,00 ;5,62
2012/04/10;16.5;4.42;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.110; 19,42 ; 15,68 ;0,07;0,08; 1,27 ;11.68; 885,47 ;5,62
2012/04/17;16.56;4.41;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.111; 14,33 ; 18,67 ;0,07;0,08; 1,03 ;11.68; 885,47 ;5,62
2012/04/24;16.7;4.37;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.112; 11,93 ; 14,79 ;0,07;0,08; 1,14 ;11.68; 885,47 ;5,62
2012/05/01;16.5;4.42;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.113; 17,99 ; 12,66 ;0,07;0,08; 1,07 ;11.68; 885,47 ;5,62
2012/05/08;17.09;4.27;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.114; 17,48 ; 12,70 ;0,07;0,08; 0,92 ;11.68; 885,47 ;5,62
2012/05/15;17.0;4.29;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.115; 19,13 ; 11,41 ;0,07;0,08; 0,81 ;38.91; 885,47 ;5,62
2012/05/22;17.1;4.27;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.116; 30,87 ; 7,57 ;0,07;0,08; 0,74 ;38.91; 954,50 ;5,62
2012/05/29;16.5;4.42;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.117; 19,29 ; 11,01 ;0,07;0,08; 0,65 ;38.91; 954,50 ;5,62
2012/06/05;16.8;4.35;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.118; 18,43 ; 14,18 ;0,07;0,08; 0,69 ;38.91; 954,50 ;5,62
2012/06/12;15.9;4.59;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.119; 16,63 ; 9,04 ;0,07;0,08; 0,66 ;38.91; 954,50 ;5,62
2012/06/19;16.44;4.44;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.120; 14,64 ; 12,47 ;0,07;0,08; 0,27 ;38.91; 954,50 ;5,62
2012/06/26;17.3;4.22;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.121; 12,09 ; 10,23 ;0,07;0,08; 0,25 ;38.91; 954,50 ;5,62
2012/07/03;17.8;4.1;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.122; 11,31 ; 10,25 ;0,07;0,08; 0,18 ;38.91; 954,50 ;5,62
2012/07/10;17.5;4.17;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.123; 17,56 ; 13,91 ;0,07;0,08; 0,18 ;38.91; 1 057,57 ;5,62
2012/07/17;17.12;4.26;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.124; 16,65 ; 17,52 ;0,07;0,08; 0,15 ;38.91; 1 057,57 ;5,62
2012/07/24;17.15;4.26;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.125; 17,16 ; 15,79 ;0,07;0,08; 0,15 ;38.91; 1 057,57 ;5,62
2012/07/31;17.15;4.26;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.126; 7,93 ; 20,24 ;0,07;0,08; 0,06 ;38.91; 1 057,57 ;5,62
2012/08/07;17.5;4.17;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.127; 19,76 ; 16,70 ;0,07;0,08; 0,07 ;38.91; 1 057,57 ;5,62
2012/08/14;17.9;4.08;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.128; 11,81 ; 19,21 ;0,07;0,08; 0,07 ;38.91; 1 057,57 ;5,62
2012/08/21;17.9;4.08;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.129; 14,00 ; 18,45 ;0,07;0,08;-0,02 ;38.91; 1 185,90 ;5,62
2012/08/28;18.75;3.89;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.130; 16,26 ; 15,68 ;0,07;0,08;-0,01 ;38.91; 1 185,90 ;5,62
2012/09/04;19.25;3.79;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.131; 17,09 ; 18,67 ;0,07;0,08;-0,02 ;38.91; 1 185,90 ;5,62
2012/09/11;20.24;4.3;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.132; 11,67 ; 14,79 ;0,07;0,08;-0,24 ;38.91; 1 185,90 ;5,62
2012/09/18;21.38;4.07;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.133; 13,01 ; 12,66 ;0,07;0,08;-0,20 ;38.91; 1 185,90 ;5,62
2012/09/25;21.8;3.99;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.134; 11,99 ; 12,70 ;0,07;0,08;-0,18 ;38.91; 1 185,90 ;5,62
2012/10/02;21.9;3.97;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.135; 14,24 ; 11,41 ;0,07;0,08;-0,13 ;38.91; 1 335,00 ;5,62
2012/10/09;22.79;3.82;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.136; 9,90 ; 12,70 ;0,07;0,08;-0,14 ;38.91; 1 335,00 ;5,62
2012/10/16;22.2;3.92;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.137; 19,42 ; 7,57 ;0,07;0,08;-0,07 ;38.91; 1 335,00 ;5,62
2012/10/23;21.85;3.98;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.138; 14,33 ; 11,01 ;0,07;0,08; 0,02 ;38.91; 1 335,00 ;5,62
2012/10/30;21.7;4.01;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.139; 11,93 ; 14,18 ;0,07;0,08; 0,06 ;38.91; 1 335,00 ;5,62
2012/11/06;23.0;3.78;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.140; 17,99 ; 9,04 ;0,07;0,08; 0,11 ;38.91; 1 335,00 ;5,62
2012/11/13;23.0;3.78;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.141; 17,48 ; 12,47 ;0,07;0,08; 0,10 ;38.91; 1 480,50 ;5,62
2012/11/20;23.4;3.72;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.142; 19,13 ; 10,23 ;0,07;0,08; 0,16 ;38.91; 1 480,50 ;5,62
2012/11/27;24.0;3.63;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.143; 30,87 ; 10,25 ;0,07;0,08; 0,16 ;38.91; 1 480,50 ;5,62
2012/12/04;26.0;3.35;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.144; 19,29 ; 13,91 ;0,07;0,08; 0,46 ;38.91; 1 480,50 ;5,62
2012/12/11;23.2;3.75;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.145; 18,43 ; 17,52 ;0,07;0,08; 0,40 ;38.91; 1 480,50 ;5,62
2012/12/18;23.2;3.75;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.146; 16,63 ; 15,79 ;0,07;0,08; 0,39 ;38.91; 1 480,50 ;5,62
2012/12/25;23.0;3.78;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.147; 14,64 ; 20,24 ;0,07;0,08; 0,39 ;38.91; 1 500,40 ;5,62
2013/01/01;22.8;3.82;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.148; 12,09 ; 16,70 ;0,07;0,08; 0,41 ;38.91; 1 500,40 ;6,09
2013/01/08;23.47;3.71;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.149; 11,31 ; 19,21 ;0,07;0,08; 0,37 ;38.91; 1 500,40 ;6,09
2013/01/15;23.4;3.72;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.150; 17,56 ; 18,45 ;0,07;0,08; 0,45 ;38.91; 1 500,40 ;6,09
2013/01/22;23.75;3.66;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.151; 16,65 ; 15,68 ;0,07;0,08; 0,44 ;38.91; 1 500,40 ;6,09
2013/01/29;26.5;3.28;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.152; 17,16 ; 18,67 ;0,07;0,08; 0,43 ;38.91; 1 500,40 ;6,09
2013/02/05;26.9;3.23;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.153; 7,93 ; 14,79 ;0,07;0,08; 0,53 ;38.91; 1 703,80 ;6,09
2013/02/12;26.5;3.28;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.154; 19,76 ; 12,66 ;0,07;0,08; 0,50 ;38.91; 1 703,80 ;6,09
2013/02/19;25.9;3.36;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.155; 11,81 ; 12,70 ;0,07;0,08; 0,61 ;38.91; 1 703,80 ;6,09
2013/02/26;25.6;3.4;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.156; 14,00 ; 11,41 ;0,07;0,08; 0,61 ;38.91; 1 703,80 ;6,09
2013/03/05;25.98;3.35;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.157; 16,26 ; 7,57 ;0,07;0,08; 0,56 ;38.91; 1 703,80 ;6,09
2013/03/12;29.99;3.4;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.158; 17,09 ; 11,01 ;0,07;0,08; 0,51 ;38.91; 1 703,80 ;6,09
2013/03/19;29.35;3.48;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.159; 11,67 ; 14,18 ;0,07;0,08; 0,54 ;38.91; 1 836,00 ;6,09
2013/03/26;29.5;3.46;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.160; 13,01 ; 9,04 ;0,07;0,08; 0,58 ;38.91; 1 836,00 ;6,09
2013/04/02;29.69;3.44;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.161; 11,99 ; 12,47 ;0,07;0,08; 0,72 ;38.91; 1 836,00 ;6,09
2013/04/09;29.3;3.48;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.162; 14,24 ; 10,23 ;0,07;0,08; 0,72 ;38.91; 1 836,00 ;6,09
2013/04/16;29.33;3.48;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.163; 9,90 ; 10,25 ;0,07;0,08; 0,71 ;38.91; 1 836,00 ;6,09
2013/04/23;30.5;3.34;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.164; 19,42 ; 13,91 ;0,07;0,08; 0,68 ;38.91; 1 836,00 ;6,09
2013/04/30;30.2;3.38;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.165; 14,33 ; 17,52 ;0,07;0,08; 0,65 ;38.91; 1 836,00 ;6,09
2013/05/07;30.5;3.34;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.166; 11,93 ; 15,79 ;0,07;0,08; 0,70 ;38.91; 1 928,00 ;6,09
2013/05/14;29.95;3.41;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.167; 17,99 ; 20,24 ;0,07;0,08; 0,71 ;15.91; 1 928,00 ;6,09
2013/05/21;30.85;3.31;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.168; 17,48 ; 16,70 ;0,07;0,08; 0,87 ;15.91; 1 928,00 ;6,09
2013/05/28;29.31;3.48;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.169; 19,13 ; 19,21 ;0,07;0,08; 0,86 ;15.91; 1 928,00 ;6,09
2013/06/04;30.0;3.4;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.170; 30,87 ; 18,45 ;0,07;0,08; 0,90 ;15.91; 1 928,00 ;6,09
2013/06/11;29.36;3.47;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.171; 19,29 ; 15,68 ;0,07;0,08; 0,91 ;15.91; 1 928,00 ;6,09
2013/06/18;29.3;3.48;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.172; 18,43 ; 18,67 ;0,07;0,08; 0,87 ;15.91; 1 908,00 ;6,09
2013/06/25;26.3;3.88;2013/06/30 00:00;29.17;4.44;4.3;SPUR;31.173; 16,63 ; 14,79 ;0,07;0,08; 1,02 ;15.91; 1 908,00 ;6,09
2013/07/02;28.5;3.58;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.174; 14,64 ; 12,66 ;0,07;0,08; 1,12 ;15.91; 1 908,00 ;6,09
2013/07/09;28.4;3.59;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.175; 12,09 ; 12,70 ;0,07;0,08; 1,13 ;15.91; 1 908,00 ;6,09
2013/07/16;28.3;3.6;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.176; 11,31 ; 11,41 ;0,07;0,08; 1,11 ;15.91; 1 908,00 ;6,09
2013/07/23;28.8;3.54;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.177; 17,56 ; 7,57 ;0,07;0,08; 1,03 ;15.91; 1 908,00 ;6,09
2013/07/30;30.0;3.4;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.178; 16,65 ; 11,01 ;0,07;0,08; 1,01 ;15.91; 2 319,00 ;6,09
2013/08/06;33.19;3.07;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.179; 17,16 ; 14,18 ;0,07;0,08; 1,01 ;15.91; 2 319,00 ;6,09
2013/08/13;33.95;3.0;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.180; 7,93 ; 9,04 ;0,07;0,08; 1,87 ;15.91; 2 319,00 ;6,09
2013/08/20;33.85;3.01;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.181; 19,76 ; 12,47 ;0,07;0,08; 1,87 ;15.91; 2 319,00 ;6,09
2013/08/27;33.5;3.04;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.182; 11,81 ; 10,23 ;0,07;0,08; 1,87 ;15.91; 2 319,00 ;6,09
2013/09/03;33.36;3.06;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.183; 14,00 ; 10,25 ;0,07;0,08; 1,85 ;15.91; 2 319,00 ;6,09
2013/09/10;32.2;3.17;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.184; 16,26 ; 13,91 ;0,07;0,08; 1,84 ;15.91; 2 319,00 ;6,09
2013/09/17;31.01;3.58;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.185; 17,09 ; 17,52 ;0,07;0,08; 1,83 ;15.91; 2 404,00 ;6,09
2013/09/24;30.91;3.59;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.186; 11,67 ; 15,79 ;0,07;0,08; 1,65 ;15.91; 2 404,00 ;6,09
2013/10/01;30.75;3.61;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.187; 13,01 ; 20,24 ;0,07;0,08; 2,18 ;15.91; 2 404,00 ;6,09
2013/10/08;30.1;3.69;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.188; 11,99 ; 16,70 ;0,07;0,08; 2,25 ;15.91; 2 404,00 ;6,09
2013/10/15;29.62;3.75;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.189; 14,24 ; 19,21 ;0,07;0,08; 1,52 ;15.91; 2 404,00 ;6,09
2013/10/22;30.0;3.7;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.190; 9,90 ; 18,45 ;0,07;0,08; 1,48 ;15.91; 2 404,00 ;6,09
2013/10/29;31.4;3.54;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.191; 19,42 ; 15,68 ;0,07;0,08; 1,39 ;15.91; 2 404,00 ;6,09
2013/11/05;31.69;3.5;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.192; 14,33 ; 18,67 ;0,07;0,08; 1,48 ;15.91; 2 738,00 ;6,09
2013/11/12;31.3;3.55;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.193; 11,93 ; 14,79 ;0,07;0,08; 1,26 ;15.91; 2 738,00 ;6,09
2013/11/19;31.74;3.5;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.194; 17,99 ; 12,66 ;0,07;0,08; 1,27 ;15.91; 2 738,00 ;6,09
2013/11/26;30.09;3.69;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.195; 17,48 ; 12,70 ;0,07;0,08; 1,03 ;15.91; 2 738,00 ;6,09
2013/12/03;28.86;3.85;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.196; 19,13 ; 11,41 ;0,07;0,08; 1,14 ;15.91; 2 738,00 ;6,09
2013/12/10;30.0;3.7;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.197; 30,87 ; 7,57 ;0,07;0,08; 1,07 ;15.91; 2 738,00 ;6,09
2013/12/17;29.8;3.72;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.198; 19,29 ; 11,01 ;0,07;0,08; 0,92 ;15.91; 2 738,00 ;6,09
2013/12/24;30.89;3.59;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.199; 18,43 ; 14,18 ;0,07;0,08; 0,81 ;15.91; 2 920,00 ;6,09
2013/12/31;29.99;3.7;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.200; 16,63 ; 9,04 ;0,07;0,08; 0,74 ;15.91; 2 920,00 ;6,09
2014/01/07;30.0;3.7;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.201; 14,64 ; 12,47 ;0,07;0,08; 0,65 ;15.91; 2 920,00 ;6,09
2014/01/14;31.0;3.58;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.202; 12,09 ; 10,23 ;0,07;0,08; 0,69 ;15.91; 2 920,00 ;6,09
2014/01/21;30.8;3.6;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.203; 11,31 ; 10,25 ;0,07;0,08; 0,66 ;15.91; 2 920,00 ;6,09
2014/01/28;31.2;3.56;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.204; 17,56 ; 13,91 ;0,07;0,08; 0,27 ;15.91; 2 920,00 ;6,09
2014/02/04;31.0;3.58;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.205; 16,65 ; 17,52 ;0,07;0,08; 0,25 ;15.91; 2 920,00 ;6,09
2014/02/11;32.7;3.39;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.206; 17,16 ; 15,79 ;0,07;0,08; 0,18 ;15.91; 3 279,00 ;6,09
2014/02/18;33.6;3.3;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.207; 7,93 ; 20,24 ;0,07;0,08; 0,18 ;15.91; 3 279,00 ;6,09
2014/02/25;32.8;3.38;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.208; 19,76 ; 16,70 ;0,07;0,08; 0,15 ;15.91; 3 279,00 ;6,09
2014/03/04;29.65;3.81;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.209; 11,81 ; 19,21 ;0,07;0,08; 0,15 ;15.91; 3 279,00 ;6,09
2014/03/11;29.2;3.87;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.210; 14,00 ; 18,45 ;0,07;0,08; 0,06 ;15.91; 3 279,00 ;6,09
2014/03/18;28.85;3.92;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.211; 16,26 ; 15,68 ;0,07;0,08; 0,07 ;15.91; 3 279,00 ;6,09
2014/03/25;29.4;3.84;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.212; 17,09 ; 18,67 ;0,07;0,08; 0,07 ;15.91; 3 279,00 ;6,09
2014/04/01;28.0;4.04;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.213; 11,67 ; 14,79 ;0,07;0,08;-0,02 ;15.91; 3 551,00 ;6,09
2014/04/08;28.45;3.97;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.214; 13,01 ; 12,66 ;0,07;0,08;-0,01 ;15.91; 734,79 ;6,09
2014/04/15;29.85;3.79;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.215; 11,99 ; 12,70 ;0,07;0,08;-0,02 ;15.91; 734,79 ;6,09
2014/04/22;30.0;3.77;2014/06/30 00:00;27.24;5.8;5.52;SPUR;31.216; 14,24 ; 11,41 ;0,07;0,08;-0,24 ;15.91; 734,79 ;6,09
2014/04/29;30.0;3.77;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.50; 9,90 ; 7,57 ;0,07;0,08;-0,20 ;15.91; 734,79 ;6,09
2014/05/06;29.51;3.83;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.51; 19,42 ; 11,01 ;0,07;0,08;-0,18 ;15.91; 734,79 ;6,09
2014/05/13;29.99;3.77;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.52; 14,33 ; 14,18 ;0,07;0,08;-0,13 ;25.03; 734,79 ;6,09
2014/05/20;29.65;3.81;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.53; 11,93 ; 9,04 ;0,07;0,08;-0,14 ;25.03; 734,79 ;6,09
2014/05/27;30.3;3.73;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.54; 17,99 ; 12,47 ;0,07;0,08;-0,07 ;25.03; 806,00 ;6,09
2014/06/03;31.9;3.54;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.55; 17,48 ; 10,23 ;0,07;0,08; 0,02 ;25.03; 806,00 ;6,09
2014/06/10;32.0;3.53;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.56; 19,13 ; 10,25 ;0,07;0,08; 0,06 ;25.03; 806,00 ;6,09
2014/06/17;32.02;3.53;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.57; 30,87 ; 13,91 ;0,07;0,08; 0,11 ;25.03; 806,00 ;6,09
2014/06/24;30.5;3.7;2014/06/30 00:00;27.24;5.8;5.52;SPUR;309.58; 19,29 ; 17,52 ;0,07;0,08; 0,10 ;25.03; 806,00 ;6,09
2014/07/01;32.71;3.45;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.59; 18,43 ; 15,79 ;0,07;0,08; 0,16 ;25.03; 806,00 ;6,09
2014/07/08;30.61;3.69;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.60; 16,63 ; 20,24 ;0,07;0,08; 0,16 ;25.03; 806,00 ;6,09
2014/07/15;30.8;3.67;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.61; 14,64 ; 16,70 ;0,07;0,08; 0,46 ;25.03; 885,47 ;6,09
2014/07/22;30.55;3.7;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.62; 12,09 ; 19,21 ;0,07;0,08; 0,40 ;25.03; 885,47 ;6,09
2014/07/29;31.65;3.57;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.63; 11,31 ; 18,45 ;0,07;0,08; 0,39 ;25.03; 885,47 ;6,09
2014/08/05;31.5;3.59;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.64; 17,56 ; 15,68 ;0,07;0,08; 0,39 ;25.03; 885,47 ;6,09
2014/08/12;30.83;3.67;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.65; 16,65 ; 18,67 ;0,07;0,08; 0,41 ;25.03; 885,47 ;6,09
2014/08/19;29.62;3.81;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.66; 17,16 ; 14,79 ;0,07;0,08; 0,37 ;25.03; 885,47 ;6,09
2014/08/26;30.0;3.77;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.67; 7,93 ; 12,66 ;0,07;0,08; 0,45 ;25.03; 954,50 ;6,09
2014/09/02;29.75;3.8;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.68; 19,76 ; 12,70 ;0,07;0,08; 0,44 ;25.03; 954,50 ;6,09
2014/09/09;29.71;3.8;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.69; 11,81 ; 11,41 ;0,07;0,08; 0,43 ;25.03; 954,50 ;6,09
2014/09/16;31.61;3.83;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.70; 14,00 ; 7,57 ;0,07;0,08; 0,53 ;25.03; 954,50 ;6,09
2014/09/23;31.78;3.81;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.71; 16,26 ; 11,01 ;0,07;0,08; 0,50 ;25.03; 954,50 ;6,09
2014/09/30;31.1;3.89;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.72; 17,09 ; 14,18 ;0,07;0,08; 0,61 ;25.03; 954,50 ;6,09
2014/10/07;31.05;3.9;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.73; 11,67 ; 9,04 ;0,07;0,08; 0,61 ;25.03; 954,50 ;6,09
2014/10/14;31.1;3.89;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.74; 13,01 ; 12,47 ;0,07;0,08; 0,56 ;25.03; 1 057,57 ;6,09
2014/10/21;30.4;3.98;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.75; 11,99 ; 10,23 ;0,07;0,08; 0,51 ;25.03; 1 057,57 ;6,09
2014/10/28;30.0;4.03;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.76; 14,24 ; 10,25 ;0,07;0,08; 0,54 ;25.03; 1 057,57 ;6,09
2014/11/04;31.5;3.84;2015/06/30 00:00;18.61;2.64;2.55;SPUR;309.77; 9,90 ; 13,91 ;0,07;0,08; 0,58 ;25.03; 1 057,57 ;6,09
